Timestamp,Teacher Name,Student Academic Year,Student Department,Have you noticed the student struggling more than usual with coursework? ,  Does the student appear quieter or more withdrawn compared to before while behaving with peers?  ,  Has the student reduced communication with you or avoiding your messages?  ,"Does the student appear stressed, or irritated?  ",  Have you noticed anxiety or overthinking in their behavior ? ,"  How often does the student initiate conversations, ask questions, or seek help when needed during class activities?  ","How well does the student balance participation in different activities (sports, cultural, social)?",  Does the student frequently ask for deadline extensions or extra time?  ,How consistent is the student in completing the work or assignments ? , How enthusiastic is the student towards learning new things?,How much do you rate the student presentation in terms of confidence,Student Regd No.,Column 15
3/21/2026 15:20:18,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Sometimes,Never,Never,,5,5,22501A4413,
3/21/2026 15:21:28,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Never,Often,Never,,4,5,22501A4414,
3/21/2026 15:23:08,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4416,
3/21/2026 15:25:06,Mounika,IV,Data Science,Never,Very Often,Never,Never,Never,Never,Never,Very Often,,5,5,22501A4417,
3/21/2026 19:12:25,K S.S.Narayana,IV,AIML,Never,Never,Never,Never,Never,Very Often,Sometimes,Never,,4,4,22501A4203,
3/21/2026 19:14:09,K.S.S.Narayana,IV,AIML,Never,Never,Never,Never,Never,Very Often,Very Often,Never,,4,4,22501A4204,
3/21/2026 19:15:26,K S S NARAYANA ,IV,AIML,Never,Very Often,Never,Never,Never,Very Often,Very Often,Never,,5,5,22501A4205,
3/21/2026 19:16:56,K.S.S.Narayana,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,,5,5,22501A4206,
3/22/2026 21:09:05,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Often,Never,,5,5,22501A4219,
3/22/2026 21:11:51,G.Pavani,IV,AIML,Very Often,Very Often,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,,2,2,22501A04220,
3/22/2026 21:14:05,G.Pavani,IV,AIML,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Never,Often,,3,3,22501A04221,
3/22/2026 21:37:36,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Sometimes,Never,,5,5,22501A4222,
3/22/2026 21:45:04,G.Pavani,IV,AIML,Never,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,,4,4,22501A4223,
3/22/2026 21:53:23,G.Pavani,IV,AIML,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,,3,4,22501A4224,
3/22/2026 21:55:46,G.Pavani,IV,AIML,Often,Often,Sometimes,Never,Never,Never,Never,Never,,2,4,22501A04225,
3/22/2026 21:55:53,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Very Often,Sometimes,Never,,5,5,22501A4207,
3/22/2026 21:57:24,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Very Often,Never,Never,,5,5,22501A4208,
3/22/2026 21:58:30,G.Pavani,IV,AIML,Very Often,Very Often,Often,Rarely,Sometimes,Never,Very Often,Often,,2,2,22501A04226,
3/22/2026 21:59:34,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,,5,5,22501A4209,
3/22/2026 22:00:33,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Rarely,Never,,5,5,22501A4227,
3/22/2026 22:01:20,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,,5,5,22501A4210,
3/22/2026 22:02:51,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,,5,5,22501A4211,
3/22/2026 22:04:35,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,,5,5,22501A4212,
3/22/2026 22:06:03,G.pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Rarely,Never,,5,5,22501A4228,
3/22/2026 22:06:18,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,,5,5,22501A4213,
3/22/2026 22:07:42,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Very Often,Never,,5,5,22501A4229,
3/22/2026 22:08:09,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Very Often,Never,,5,5,22501A4214,
3/22/2026 22:09:29,G.Pavani,IV,AIML,Never,Never,Sometimes,Rarely,Rarely,Very Often,Rarely,Never,,5,5,22501A04230,
3/22/2026 22:09:35,K.S.S.NARAYANA,IV,AIML,Never,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Never,,5,5,22501A4215,
3/22/2026 22:11:07,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,,5,5,22501A4216,
3/22/2026 22:11:10,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Rarely,Never,,5,5,22501A04231,
3/22/2026 22:12:35,K.S.S.NARAYANA,IV,AIML,Never,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,,5,5,22501A4217,
3/22/2026 22:13:13,G.Pavani,IV,AIML,Rarely,Never,Never,Never,Never,Never,Rarely,Never,,5,5,22501A04232,
3/22/2026 22:14:18,K.S.S.NARAYANA,IV,AIML,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,,5,5,22501A4218,
3/22/2026 22:15:45,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Sometimes,Never,,5,5,22501A4233,
3/22/2026 22:17:28,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Often,Rarely,Never,,4,4,22501A4234,
3/22/2026 22:19:09,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Often,Rarely,Never,,4,4,22501A4235,
3/22/2026 22:20:36,G.Pavani,IV,AIML,Never,Never,Never,Never,Never,Very Often,Rarely,Never,,5,5,22501A4236,
3/28/2026 13:31:45,Hafeena Mohammad,III,Data Science,Rarely,Never,Rarely,Never,Rarely,Often,Rarely,Sometimes,,3,3,23501A4430,
3/28/2026 13:33:14,Hafeena Mohammad,III,Data Science,Never,Never,Very Often,Never,Never,Never,Never,Very Often,,2,3,23501A4431,
3/28/2026 13:34:56,Hafeena Mohammad,III,Data Science,Sometimes,Often,Sometimes,Rarely,Often,Sometimes,Often,Rarely,,3,3,23501A4432,
3/28/2026 13:36:35,Hafeena MOhammad,III,Data Science,Rarely,Never,Never,Never,Sometimes,Rarely,Very Often,Sometimes,,5,5,23501A4433,
3/28/2026 13:38:47,Hafeena Mohammad,III,Data Science,Never,Never,Never,Never,Never,Very Often,Very Often,Never,,5,5,23501A4434,
3/28/2026 13:41:13,Hafeena Mohammad,III,Data Science,Never,Never,Never,Never,Never,Rarely,Sometimes,Never,,5,5,23501A4435,
3/28/2026 13:43:37,Hafeena Mohammad,III,Data Science,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Often,Rarely,,4,4,23501A4436,
3/28/2026 13:48:50,Hafeena Mohammad,III,Data Science,Rarely,Never,Never,Never,Never,Sometimes,Very Often,Sometimes,,5,5,23501A4437,
3/28/2026 14:02:18,Hafeena Mohammad,III,Data Science,Never,Never,Never,Never,Never,Often,Often,Never,,5,5,23501A4438,
3/28/2026 14:04:14,Hafeena Mohammad,III,Data Science,Never,Sometimes,Very Often,Never,Never,Sometimes,Sometimes,Sometimes,,3,3,23501A4439,
3/28/2026 14:06:07,Hafeena Mohammad,IV,Data Science,Never,Never,Never,Never,Never,Often,Often,Never,,5,5,23501A4440,
3/28/2026 14:07:48,Hafeena Mohammad,III,Data Science,Rarely,Rarely,Never,Never,Never,Rarely,Very Often,Never,,5,5,23501A4441,
3/28/2026 14:09:08,Hafeena Mohammad,III,Data Science,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Very Often,Sometimes,,4,4,23501A4442,
3/28/2026 14:12:50,Hafeena Mohammad,III,Data Science,Never,Rarely,Sometimes,Never,Never,Rarely,Often,Never,,4,4,23501A4443,
3/28/2026 14:13:44,Hafeena Mohammad,III,Data Science,Never,Never,Never,Never,Rarely,Sometimes,Often,Never,,4,4,23501A4444,
3/28/2026 14:17:03,Hafeena Mohammad,III,Data Science,Often,Often,Sometimes,Rarely,Never,Never,Very Often,Often,,4,4,23501A4445,
3/28/2026 14:22:49,Hafeena Mohammad,III,Data Science,Never,Never,Never,Never,Never,Often,Often,Never,,5,5,23501A4447,
3/28/2026 14:24:08,Hafeena Mohammad,III,Data Science,Never,Never,Never,Never,Never,Sometimes,Often,Never,,5,5,23501A4448,
